name,renta_2001,renta_2003,renta_2006,renta_2009,renta_2011,renta_2013,pop_1998,pop_1999,pop_2002,pop_2003,pop_2004,pop_2005,pop_2006,pop_2007,pop_2008,pop_2009,pop_2010,pop_2011,pop_2012,pop_2013,pop_2014,pop_2015,pop_2016,
Abadiño,12343,14292,17224,19111,19440,19099,6820,6858,6954,6996,7031,7129,7163,7140,7197,7260,7310,7312,7385,7458,7504,7516,7533,
Abaltzisketa,12756,14195,17248,20451,23782,21723,265,262,283,281,280,284,295,304,317,316,326,321,324,330,329,329,324,
Abanto y Ciérvana-Abanto Zierbena,10764,12021,15603,17109,16916,16570,8812,8920,9111,9190,9315,9503,9608,9609,9608,9647,9724,9713,9708,9758,9688,9635,9577,
Aduna,10643,13740,18826,21279,21585,20576,308,310,332,341,342,352,368,370,376,401,429,452,452,457,471,470,470,
Aia,10135,11540,13771,17876,18226,18292,1651,1663,1643,1652,1707,1750,1773,1829,1854,1958,2007,2002,2026,2038,2039,2051,2046,
Aizarnazabal,11712,13588,14368,20093,18723,17215,543,546,531,552,579,629,614,638,653,669,708,733,766,770,775,775,775,
Ajangiz,12461,13212,17220,20486,22278,22427,401,416,425,430,428,438,441,442,445,445,450,458,457,450,463,459,469,
Albiztur,12742,13627,17631,21531,21837,21670,288,289,288,293,296,298,293,302,314,312,315,312,316,322,327,320,330,
Alegia,11440,12609,15263,17408,18185,17846,1639,1614,1610,1612,1659,1646,1671,1687,1710,1733,1750,1778,1771,1756,1744,1741,1730,
Alegría-Dulantzi,13539,15404,18763,20837,20976,19743,1259,1329,1598,1707,1919,2048,2189,2305,2467,2620,2714,2803,2869,2870,2925,2882,2856,
Alkiza,11695,12908,15749,19380,19064,20020,255,261,266,273,290,301,320,322,347,357,353,357,371,380,373,362,358,
Alonsotegi,9963,11627,14709,16368,16301,15806,2829,2775,2660,2658,2626,2745,2785,2804,2831,2835,2828,2820,2845,2827,2843,2856,2857,
Altzaga,11238,14286,16577,20552,21184,19715,97,97,116,133,148,154,153,156,157,161,159,160,162,164,165,176,171,
Altzo,13152,15258,16195,20469,20318,20029,330,338,316,320,349,359,359,379,400,402,398,405,411,409,400,405,413,
Amezketa,13138,14132,15303,18559,19754,19096,1006,995,988,983,980,969,974,954,983,990,994,970,976,972,968,942,938,
